Flow;Mean;Q0;Q2.5;Q97.5;Q100
Bac->Biv;0,000537717;7,87578E-08;2,48672E-05;0,001149478;0,001349455
Bac->Poc;0,157946487;0,05306252;0,059160423;0,3222093;0,406892607
Bac->Exp;0,839632508;0,000508737;0,036685362;1,374525345;1,567873241
Bac->Resp;13,70857741;8,146452099;8,390392244;15,70293396;15,73865975
Doc->Bac;14,84197645;8,752932835;9,008663145;16,94490218;16,98812868
Poc->Cil;0,040971375;1,60205E-05;0,000973987;0,135613111;0,285793414
Poc->Nsci;0,806310485;0,003705649;0,028559655;3,971692537;4,170576124
Poc->Tun;0,077963271;3,83648E-07;0,001183575;0,298120598;0,466781924
Poc->Clado;0,000124262;5,75945E-08;3,74732E-06;0,000378901;0,00054901
Poc->Cop;0,074924824;8,34728E-06;0,003658244;0,159692977;0,209749285
Poc->Biv;0,005649261;1,49845E-06;0,000245008;0,012558912;0,015355861
Poc->Gastr;0,001349108;6,19028E-08;3,83447E-05;0,00417216;0,006776892
Poc->Poly;0,055684471;8,69583E-06;0,000990246;0,301750592;0,422507688
Poc->Exp;454,7543461;452,7952423;452,7973635;463,9943637;464,2941095
Imp->Dia;55,388769;46,80976272;46,89578483;60,94441728;61,2137887
Imp->Phae;0,45240595;0,34817591;0,394656016;0,532304909;0,569960386
Imp->Cil;0,113458134;2,18033E-06;0,001486578;0,431540909;0,471015846
Imp->Nsci;7,31153792;0,137420429;0,624151941;8,906698226;8,977150965
Imp->Tun;0,139215427;1,54537E-05;0,001272669;0,567109647;0,617377212
Imp->Clado;0,000125224;9,98559E-10;4,58065E-06;0,000381453;0,000568857
Imp->Cop;0,046010557;0,000102573;0,009644543;0,084865482;0,100182331
Imp->Biv;0,017033489;9,93657E-06;0,000948147;0,040022832;0,055519879
Imp->Gastr;0,001388222;4,05508E-07;4,13225E-05;0,004178625;0,006366203
Imp->Poly;0,104196031;1,45166E-05;0,002410964;0,289626038;0,365859745
Imp->Hydro;0,00136328;2,64134E-07;4,20822E-05;0,004285238;0,006899552
Imp->Ppil;0,000168784;7,0397E-08;4,67685E-06;0,000568644;0,001023656
Imp->Mlei;0,003059522;8,9172E-08;0,000122825;0,00786513;0,009755152
Imp->Bcu;4,15457E-05;1,08889E-08;1,2392E-06;0,000143763;0,000253652
Imp->Her;0,000724495;4,20088E-08;3,36951E-05;0,001548559;0,001793081
Imp->Doc;13,77727766;8,130913038;8,339149774;15,75615092;15,79154648
Imp->Poc;448,7220058;440,7795607;442,2503682;454,5824783;455,2523239
Doc->Exp;11,72508636;6,889267524;7,117249067;13,44479215;13,50979922
