Flow;Mean;Q0;Q2.5;Q97.5;Q100
Imp->Gastr;0,076466758;1,70508E-05;0,002721192;0,215773325;0,329799959
Imp->Poly;0,507583899;0,000347865;0,027802492;1,409610189;2,460357775
Imp->Hydro;0,005943452;8,34286E-07;0,00015843;0,018650934;0,030679963
Imp->Ppil;0,001561953;1,42861E-07;4,18573E-05;0,00517827;0,011662359
Imp->Mlei;0,003293241;5,13993E-07;0,000130676;0,008722221;0,01175426
Imp->Bcu;0,000140864;1,59466E-08;4,34633E-06;0,000475085;0,000978453
Imp->Her;0,001505132;5,39285E-07;6,96163E-05;0,003795442;0,005071935
Imp->Doc;6,411409982;0,000542224;0,274138107;13,75204735;14,37147116
Imp->Poc;275,3853479;214,5110809;216,4353515;374,5240777;375,2848175
Doc->Exp;27,14347249;3,503007197;5,901829731;50,7568561;52,5535203
