species;column;genus;class;group
Pterosperma sp. ;Pterosperma_sp._C;Pterosperma;Prasinophyceae;OUT
Pyramimonas longicauda ;P._longicauda_C;Pyramimonas;Pyramimonadophyceae;OUT
Pyrocystis noctiluca ;P._noctiluca_C;Pyrocystis;Dinophyceae;dinoflagellate
Rhaphoneis amphiceros ;R._amphiceros_C;Rhaphoneis;Bacillariophyceae;diatom
Rhizosolenia imbricata ;R._imbricata_C;Rhizosolenia;Bacillariophyceae;diatom
Rhizosolenia setigera ;R._setigera_C;Rhizosolenia;Bacillariophyceae;diatom
Rhizosolenia styliformis ;R._styliformis_C;Rhizosolenia;Bacillariophyceae;diatom
Scrippsiella sp. ;Scrippsiella_sp._C;Scrippsiella;Dinophyceae;dinoflagellate
Skeletonema sp. ;Skeletonema_sp._C;Skeletonema;Bacillariophyceae;diatom
Subsilicea fragilarioides ;S._fragilarioides_C;Subsilicea;Bacillariophyceae;diatom
Synedra sp. ;Synedra_sp._C;Synedra;Bacillariophyceae;diatom
Thalassionema nitzschioides ;T._nitzschioides_C;Thalassionema;Bacillariophyceae;diatom
Thalassiosira curviseriata ;T._curviseriata_C;Thalassiosira;Bacillariophyceae;diatom
Thalassiosira decipiens ;T._decipiens_C;Thalassiosira;Bacillariophyceae;diatom
Thalassiosira nordenskioeldii ;T._nordenskioeldii_C;Thalassiosira;Bacillariophyceae;diatom
Thalassiosira punctigera ;T._punctigera_C;Thalassiosira;Bacillariophyceae;diatom
Thalassiosira rotula ;T._rotula_C;Thalassiosira;Bacillariophyceae;diatom
Thalassiosira sp. ;Thalassiosira_sp._C;Thalassiosira;Bacillariophyceae;diatom
Tiarina fusus ;T._fusus_C;Tiarina;Prostomatea;ciliate
Tintinnopsis sp. ;Tintinnopsis_sp._C;Tintinnopsis;Oligotrichea;ciliate
Torodinium robustum ;T._robustum_C;Torodinium;Dinophyceae;dinoflagellate
Indeterminable: unknown ;unknown_C;Indeterminable:;NA;OUT
Cerataulus smithii ;C._smithii_C;Cerataulus;Bacillariophyceae;diatom
Ceratium furca ;C._furca_C;Ceratium;Dinophyceae;dinoflagellate
Chaetoceros curvisetus ;C._curvisetus_C;Chaetoceros;Dinophyceae;dinoflagellate
Dinophyceae indeterminata, athecate ;Dinophy_indet_athecate_C;Dinophyceae;Dinophyceae;dinoflagellate
Dinophyceae indeterminata, thecate ;Dinophy_indet_thecate_C;Dinophyceae;Dinophyceae;dinoflagellate
Eutreptiella marina ;E._marina_C;Eutreptiella;Euglenoidea;heterotrophic flagellate
Gonyaulax sp. ;Gonyaulax_sp._C;Gonyaulax;Dynophyceae;dinoflagellate
Oblea sp. ;Oblea_sp._C;Oblea;Dynophyceae;dinoflagellate
Pronoctiluca pelagica ;P._pelagica_C;Pronoctiluca;Dynophyceae;dinoflagellate
Prorocentrum triestinum ;P._triestinum_C;Prorocentrum;Dynophyceae;dinoflagellate
Protoperidinium oblongum ;P._oblongum_C;Protoperidinium;Dynophyceae;dinoflagellate
Pseudo-nitzschia pungens ;P-n_pungens_C;Pseudo-nitzschia;Bacillariophyceae;diatom
Scenedesmus sp. ;Scenedesmus_sp._C;Scenedesmus;Chlorophyceae;OUT
Spatulodinium pseudonoctiluca ;S._pseudonoctiluca_C;Spatulodinium;Dinophyceae;dinoflagellate
Stephanopyxis turris ;S._turris_C;Stephanopyxis;Bacillariophyceae;diatom
Strombidium sp. ;Strombidium_sp._C;Strombidium;Oligotrichea;ciliate
Tetraselmis sp. ;Tetraselmis_sp._C;Tetraselmis;Chlorodendrophyceae;OUT
Thalassiosira eccentrica ;T._eccentrica_C;Thalassiosira;Bacillariophyceae;diatom
Achnanthes taeniata ;A._taeniata_C;Achnanthes;Bacillariophyceae;diatom
Balanion sp. ;Balanion_sp._C;Balanion;Prostomatea;ciliate
Choanoflagellatea indeterminata ;Choanoflag_indet_C;Choanoflagellatea;NA;heterotrophic flagellate
Strobilidium sp.  ;Strobilidium_sp._C;Strobilidium;Oligotrichea;ciliate
Cothurnia sp. ;Cothurnia_sp._C;Cothurnia;Oligohymenophorea;ciliate
Dinophysis acuta ;D._acuta_C;Dinophysis;Dinophyceae;dinoflagellate
Flagellates indeterminata, ellipsoid ;Flag_indet_ellipsoid_C;Flagellates;NA;heterotrophic flagellate
Flagellates indeterminata, sphere ;Flag_indet_sphere_C;Flagellates;NA;heterotrophic flagellate
Fragilaria sp. ;Fragilaria_sp._C;Fragilaria;Bacillariophyceae;diatom
Gyrosigma sp. ;Gyrosigma_sp._C;Gyrosigma;Bacillariophyceae;diatom
Heterocapsa sp. ;Heterocapsa_sp._C;Heterocapsa;Dinophyceae;dinoflagellate
Katodinium sp. ;Katodinium_sp._C;Katodinium;Dinophyceae;dinoflagellate
Licmophora sp. ;Licmophora_sp._C;Licmophora;Bacillariophyceae;diatom
Mediopyxis helysia ;M._helysia_C;Mediopyxis;Khakista incertae cedis;diatom
Mesoporos sp. ;Mesoporos_sp._C;Mesoporos;Dinophyceae;dinoflagellate
Odontella sp. ;Odontella_sp._C;Odontella;Bacillariophyceae;diatom
Pediastrum sp. ;Pediastrum_sp._C;Pediastrum;Chlorophyceae;OUT
Plagiogramma sp. ;Plagiogramma_sp._C;Plagiogramma;Bacillariophyceae;diatom
Protoperidinium denticulatum ;P._denticulatum_C;Protoperidinium;Dinophyceae;dinoflagellate
Protoperidinium depressum ;P._depressum_C;Protoperidinium;Dinophyceae;dinoflagellate
Pyramimonas sp. ;Pyramimonas_sp._C;Pyramimonas;Pyramimonadophyceae;OUT
Rhizosolenia setigera forma pungens ;R._setigera_f_pungens_C;Rhizosolenia;Bacillariophyceae;diatom
Rhizosolenia sp. ;Rhizosolenia_sp._C;Rhizosolenia;Bacillariophyceae;diatom
Thalassiosira minima ;T._minima_C;Thalassiosira;Bacillariophyceae;diatom
Attheya sp. ;Attheya_sp._C;Attheya;Bacillariophyceae;diatom
Bacteriastrum sp. ;Bacteriastrum_sp._C;Bacteriastrum;Bacillariophyceae;diatom
Coscinodiscophyceae indeterminata ;Coscinodiscophyceae_indet_C;Coscinodiscophyceae;Bacillariophyceae;diatom
Coscinodiscus wailesii ;C._wailesii_C;Coscinodiscus;Bacillariophyceae;diatom
Didinium sp. ;Didinium_sp._C;Didinium;Litostomatea;ciliate
Dinophysis sp. ;Dinophysis_sp._C;Dinophysis;Dinophyceae;dinoflagellate
Euglenophyceae indeterminata ;Euglenophyceae_indet_C;Euglenophyceae;Euglenophyceae;heterotrophic flagellate
Flagellates indeterminata, cone ;Flag_indet_cone_C;Flagellates;NA;heterotrophic flagellate
Fragilaria oblonga ;F._oblonga_C;Fragilaria;Bacillariophyceae;diatom
Gyrosigma ;Gyrosigma_C;Gyrosigma;Bacillariophyceae;diatom
Helicostomella sp. ;Helicostomella_sp._C;Helicostomella;Oligotrichea;ciliate
Heterocapsa rotundata ;H._rotundata_C;Heterocapsa;Dinophyceae;dinoflagellate
Karenia sp. ;Karenia_sp._C;Karenia;Dinophyceae;dinoflagellate
Katodinium glaucum ;K._glaucum_C;Katodinium;Dinophyceae;dinoflagellate
Nitzschia reversa ;N._reversa_C;Nitzschia;Bacillariophyceae;diatom
Odontella aurita var. minima ;O._aurita_var._minima_C;Odontella;Bacillariophyceae;diatom
Prasinophyceae indeterminata ;Prasinophyceae_indet_C;Prasinophyceae;Prasinophyceae;OUT
Pronoctiluca sp. ;Pronoctiluca_sp._C;Pronoctiluca;Dinophyceae;dinoflagellate
Prorocentrum minimum ;P._minimum_C;Prorocentrum;Dinophyceae;dinoflagellate
Surirella sp. ;Surirella_sp._C;Surirella;Bacillariophyceae;diatom
Tabellaria sp. ;Tabellaria_sp._C;Tabellaria;Bacillariophyceae;diatom
Amphidinium crassum ;A._crassum_C;Amphidinium;Dinophyceae;dinoflagellate
Tintinnid ciliates ;T._ciliates_C;Tintinnid;Spirotrichea;ciliate
Dictyosphaerium sp. ;Dictyosphaerium_sp._C;Dictyosphaerium;Trebouxiophyceae;OUT
Diplopsalis complex ;D._complex_C;Diplopsalis;Dinophyceae;dinoflagellate
Euplotes sp. ;Euplotes_sp._C;Euplotes;Spirotrichea;ciliate
Polykrikos schwarzii ;P._schwarzii_C;Polykrikos;Dinophyceae;dinoflagellate
Attheya septentrionalis ;A._septentrionalis_C;Attheya;Bacillariophyceae;diatom
Ceratium tripos ;C._tripos_C;Ceratium;Dinophyceae;dinoflagellate
Lennoxia sp. ;Lennoxia_sp._C;Lennoxia;Bacillariophyceae;diatom
Oocystis sp. ;Oocystis_sp._C;Oocystis;Trebouxiophyceae;OUT
Oscillatoria sp. ;Oscillatoria_sp._C;Oscillatoria;Cyanophyceae;OUT
Prymnesiophyta indeterminata ;Prymnesiophyta_indet_C;Prymnesiophyta;Prymnesiophyceae;OUT
Gyrosigma fasciola ;G._fasciola_C;Gyrosigma;Bacillariophyceae;diatom
Skeletonema costatum ;S._costatum_C;Skeletonema;Bacillariophyceae;diatom
