;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Pandalus;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Station 1;27.08.2018;53,03000;8,46000;surface - 1m;Petra Kadel;26;0;0;0;24;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0
Station 1;29.08.2018;53,03000;8,46000;surface - 1m;Petra Kadel;27;0;0;2;61;0;0;0;0;0;1;3;0;0;0;0;0;0;1;0;0;0;0;0
Station 1;03.09.2018;53,03000;8,46000;surface - 1m;Petra Kadel;57;1;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;05.09.2018;53,03000;8,46000;surface - 1m;Petra Kadel;15;0;0;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Station 1;10.09.2018;53,03000;8,46000;surface - 1m;Petra Kadel;22;0;0;2;32;0;0;0;0;0;0;1;0;0;0;0;0;0;10;0;0;0;0;0
Station 1;12.09.2018;53,03000;8,46000;surface - 1m;Petra Kadel;31;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0
Station 1;17.09.2018;53,03000;8,46000;surface - 1m;Petra Kadel;72;1;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0
Station 1;20.09.2018;53,03000;8,46000;surface - 1m;Petra Kadel;61;0;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;22;1;0;0;0;0
Station 1;24.09.2018;53,03000;8,46000;surface - 1m;Petra Kadel;38;0;0;1;54;0;0;0;0;1;0;2;0;1;0;0;0;0;13;0;0;0;0;0
Station 1;26.09.2018;53,03000;8,46000;surface - 1m;Petra Kadel;13;0;0;0;25;0;0;0;0;0;0;3;0;0;1;0;0;0;4;1;0;0;0;0
Station 1;01.10.2018;53,03000;8,46000;surface - 1m;Petra Kadel;25;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0
Station 1;04.10.2018;53,03000;8,46000;surface - 1m;Petra Kadel;7;0;0;0;35;0;0;0;0;4;0;2;0;0;0;0;0;0;12;0;0;0;0;0
Station 1;08.10.2018;53,03000;8,46000;surface - 1m;Petra Kadel;29;0;0;0;58;0;0;0;0;0;0;1;0;0;0;0;0;0;13;2;0;0;0;0
Station 1;11.10.2018;53,03000;8,46000;surface - 1m;Petra Kadel;17;0;0;0;25;0;0;0;0;0;0;3;0;0;0;0;0;0;4;0;0;0;0;0
Station 1;15.10.2018;53,03000;8,46000;surface - 1m;Petra Kadel;151;0;0;0;134;0;0;0;0;1;1;3;0;0;0;0;0;1;13;2;0;0;0;0
Station 1;18.10.2018;53,03000;8,46000;surface - 1m;Petra Kadel;84;0;0;1;33;0;0;0;0;0;0;10;0;0;0;0;0;0;23;21;0;0;0;0
Station 1;22.10.2018;53,03000;8,46000;surface - 1m;Petra Kadel;23;0;0;1;26;0;0;0;0;0;0;14;0;0;0;0;0;0;5;11;0;0;0;0
Station 1;25.10.2018;53,03000;8,46000;surface - 1m;Petra Kadel;11;0;0;0;34;0;0;1;0;1;0;8;0;0;0;0;0;0;13;3;0;0;0;0
Station 1;29.10.2018;53,03000;8,46000;surface - 1m;Petra Kadel;6;0;0;0;15;0;0;0;0;0;0;16;0;0;0;0;0;0;2;3;0;0;0;0
Station 1;08.11.2018;53,03000;8,46000;surface - 1m;Petra Kadel;3;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;15.11.2018;53,03000;8,46000;surface - 1m;Petra Kadel;6;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0
Station 1;19.11.2018;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Station 1;22.11.2018;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;26.11.2018;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Station 1;29.11.2018;53,03000;8,46000;surface - 1m;Petra Kadel;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;5;1;0;0;2;0
Station 1;03.12.2018;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Station 1;06.12.2018;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Station 1;10.12.2018;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;13.12.2018;53,03000;8,46000;surface - 1m;Petra Kadel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;17.12.2018;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;20.12.2018;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
