;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
Station 1;30.03.2017;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;6;48;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;03.04.2017;53,03000;8,46000;surface - 1m;Petra Kadel;14;0;0;3;9;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;05.04.2017;53,03000;8,46000;surface - 1m;Petra Kadel;15;0;0;7;20;9;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0
Station 1;10.04.2017;53,03000;8,46000;surface - 1m;Petra Kadel;294;0;0;12;65;1;0;0;0;2;0;45;0;0;0;1;0;0;1;0;0;0;0
Station 1;12.04.2017;53,03000;8,46000;surface - 1m;Petra Kadel;634;0;0;13;25;2;0;0;0;4;0;4;0;0;0;4;0;0;3;0;0;0;0
Station 1;18.04.2017;53,03000;8,46000;surface - 1m;Petra Kadel;290;0;0;15;27;2;0;0;0;5;0;1;0;0;0;9;1;0;6;0;0;0;0
Station 1;20.04.2017;53,03000;8,46000;surface - 1m;Petra Kadel;211;0;0;43;14;7;4;0;0;1;0;2;0;0;0;6;0;0;3;0;0;0;0
Station 1;24.04.2017;53,03000;8,46000;surface - 1m;Petra Kadel;213;0;0;18;18;2;10;0;0;1;0;23;0;0;0;9;1;6;1;0;0;0;0
Station 1;26.04.2017;53,03000;8,46000;surface - 1m;Petra Kadel;127;0;0;4;18;2;3;0;0;2;1;3;0;0;0;3;1;6;0;0;0;0;0
Station 1;02.05.2017;53,03000;8,46000;surface - 1m;Petra Kadel;179;0;0;6;8;4;3;0;0;7;0;1;0;0;0;2;4;22;0;0;1;0;0
Station 1;04.05.2017;53,03000;8,46000;surface - 1m;Petra Kadel;526;0;0;11;33;2;11;0;0;14;0;1;0;0;0;1;1;101;0;2;0;0;0
Station 1;08.05.2017;53,03000;8,46000;surface - 1m;Petra Kadel;528;0;0;2;49;1;1;0;0;22;3;4;0;0;0;2;1;24;0;0;0;0;0
Station 1;10.05.2017;53,03000;8,46000;surface - 1m;Petra Kadel;1056;0;0;2;42;1;2;0;0;17;3;1;0;0;1;2;0;36;0;1;0;0;0
Station 1;15.05.2017;53,03000;8,46000;surface - 1m;Petra Kadel;477;0;0;0;8;0;3;0;0;6;0;1;1;0;0;1;6;28;0;8;0;0;0
Station 1;17.05.2017;53,03000;8,46000;surface - 1m;Petra Kadel;352;0;0;0;5;0;7;0;0;6;0;0;0;0;0;5;8;25;0;3;0;0;0
Station 1;22.05.2017;53,03000;8,46000;surface - 1m;Petra Kadel;145;0;0;1;30;0;1;0;0;13;0;1;0;0;0;0;0;29;6;3;0;0;0
Station 1;24.05.2017;53,03000;8,46000;surface - 1m;Petra Kadel;188;0;0;0;166;0;0;0;0;88;1;7;2;0;0;2;1;33;2;4;0;0;0
Station 1;12.06.2017;53,03000;8,46000;surface - 1m;Petra Kadel;120;0;0;0;18;0;7;0;0;10;4;1;0;0;0;4;24;89;2;1;6;0;0
Station 1;14.06.2017;53,03000;8,46000;surface - 1m;Petra Kadel;78;0;0;0;26;0;4;0;0;5;1;0;21;2;1;6;11;61;2;2;12;0;0
Station 1;19.06.2017;53,03000;8,46000;surface - 1m;Petra Kadel;57;0;0;0;8;0;2;0;0;3;2;1;1;9;0;6;3;5;2;0;0;0;0
Station 1;21.06.2017;53,03000;8,46000;surface - 1m;Petra Kadel;47;0;0;0;18;0;0;0;0;1;1;44;1;0;0;8;2;40;4;0;1;0;0
Station 1;26.06.2017;53,03000;8,46000;surface - 1m;Petra Kadel;59;0;0;1;15;0;0;0;1;1;1;2;0;0;2;10;0;50;3;1;2;0;0
Station 1;28.06.2017;53,03000;8,46000;surface - 1m;Petra Kadel;110;0;0;1;43;0;0;0;2;2;1;2;5;0;1;5;1;54;6;0;0;0;0
Station 1;03.07.2017;53,03000;8,46000;surface - 1m;Petra Kadel;31;0;0;0;32;0;0;0;2;2;0;0;0;0;0;4;0;16;0;0;1;0;0
Station 1;05.07.2017;53,03000;8,46000;surface - 1m;Petra Kadel;30;0;0;0;5;0;0;0;2;3;0;2;0;0;0;6;0;30;4;0;0;0;0
Station 1;10.07.2017;53,03000;8,46000;surface - 1m;Petra Kadel;44;0;0;0;39;0;0;0;2;3;1;0;0;0;1;0;0;16;1;1;1;0;0
Station 1;12.07.2017;53,03000;8,46000;surface - 1m;Petra Kadel;84;0;0;0;11;0;0;0;1;0;0;5;1;0;0;3;0;64;2;0;2;0;0
Station 1;17.07.2017;53,03000;8,46000;surface - 1m;Petra Kadel;112;0;0;1;54;0;0;0;1;1;0;3;0;0;0;1;0;12;1;0;0;0;0
Station 1;20.07.2017;53,03000;8,46000;surface - 1m;Petra Kadel;94;0;0;0;64;0;0;0;0;3;1;2;0;0;0;5;0;92;2;0;0;0;0
Station 1;24.07.2017;53,03000;8,46000;surface - 1m;Petra Kadel;95;0;0;0;63;0;0;0;2;1;0;0;4;0;1;4;0;29;2;2;0;0;0
Station 1;26.07.2017;53,03000;8,46000;surface - 1m;Petra Kadel;72;0;0;0;20;0;0;0;0;1;0;0;0;0;0;0;0;45;1;1;0;0;0
Station 1;31.07.2017;53,03000;8,46000;surface - 1m;Petra Kadel;31;0;0;1;19;0;0;0;0;0;0;3;0;0;0;0;0;44;0;0;0;0;0
Station 1;02.08.2017;53,03000;8,46000;surface - 1m;Petra Kadel;19;0;0;0;17;0;0;0;0;0;0;1;0;0;0;1;0;9;0;0;0;0;0
Station 1;07.08.2017;53,03000;8,46000;surface - 1m;Petra Kadel;94;0;0;0;53;0;0;0;0;0;0;0;1;0;0;0;0;76;0;3;0;0;0
Station 1;09.08.2017;53,03000;8,46000;surface - 1m;Petra Kadel;129;0;0;0;43;0;0;0;0;0;1;2;0;0;0;0;0;97;1;3;0;0;0
Station 1;14.08.2017;53,03000;8,46000;surface - 1m;Petra Kadel;177;0;0;0;33;0;0;0;0;1;0;1;0;0;0;0;0;43;0;0;0;0;0
Station 1;16.08.2017;53,03000;8,46000;surface - 1m;Petra Kadel;129;0;0;0;8;0;0;0;0;0;0;2;0;0;0;0;0;42;1;1;0;0;0
Station 1;21.08.2017;53,03000;8,46000;surface - 1m;Petra Kadel;52;0;0;0;54;0;0;0;0;2;3;0;1;0;0;1;0;5;0;1;0;0;0
Station 1;23.08.2017;53,03000;8,46000;surface - 1m;Petra Kadel;55;0;0;1;75;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
Station 1;28.08.2017;53,03000;8,46000;surface - 1m;Petra Kadel;50;0;0;2;23;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Station 1;30.08.2017;53,03000;8,46000;surface - 1m;Petra Kadel;37;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0
Station 1;04.09.2017;53,03000;8,46000;surface - 1m;Petra Kadel;16;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Station 1;06.09.2017;53,03000;8,46000;surface - 1m;Petra Kadel;35;0;0;1;38;0;0;0;1;1;0;0;1;0;0;0;0;4;0;0;0;0;0
Station 1;11.09.2017;53,03000;8,46000;surface - 1m;Petra Kadel;75;0;0;1;29;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Station 1;14.09.2017;53,03000;8,46000;surface - 1m;Petra Kadel;51;0;0;20;54;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;0;0;0
Station 1;18.09.2017;53,03000;8,46000;surface - 1m;Petra Kadel;56;0;0;4;95;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
Station 1;20.09.2017;53,03000;8,46000;surface - 1m;Petra Kadel;60;0;0;1;90;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
Station 1;25.09.2017;53,03000;8,46000;surface - 1m;Petra Kadel;59;0;0;0;157;0;0;0;1;0;1;0;0;0;0;0;0;6;0;0;0;0;0
Station 1;27.09.2017;53,03000;8,46000;surface - 1m;Petra Kadel;109;1;0;2;58;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0
Station 1;02.10.2017;53,03000;8,46000;surface - 1m;Petra Kadel;15;0;0;3;19;0;0;0;0;0;0;0;0;0;0;0;1;10;0;0;0;0;0
Station 1;09.10.2017;53,03000;8,46000;surface - 1m;Petra Kadel;102;0;0;0;75;0;0;0;0;4;0;1;0;0;0;0;0;4;2;1;0;0;0
Station 1;11.10.2017;53,03000;8,46000;surface - 1m;Petra Kadel;54;0;0;0;49;0;0;0;0;1;0;1;0;0;0;0;0;29;10;2;0;0;0
Station 1;16.10.2017;53,03000;8,46000;surface - 1m;Petra Kadel;66;0;0;0;27;0;0;0;0;1;0;1;0;0;0;0;0;4;2;0;0;0;0
Station 1;19.10.2017;53,03000;8,46000;surface - 1m;Petra Kadel;32;0;0;1;47;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0
Station 1;23.10.2017;53,03000;8,46000;surface - 1m;Petra Kadel;24;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Station 1;25.10.2017;53,03000;8,46000;surface - 1m;Petra Kadel;31;0;0;1;21;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
Station 1;01.11.2017;53,03000;8,46000;surface - 1m;Petra Kadel;68;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
Station 1;06.11.2017;53,03000;8,46000;surface - 1m;Petra Kadel;69;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;15.11.2017;53,03000;8,46000;surface - 1m;Petra Kadel;22;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
Station 1;22.11.2017;53,03000;8,46000;surface - 1m;Petra Kadel;20;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Station 1;06.12.2017;53,03000;8,46000;surface - 1m;Petra Kadel;14;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Station 1;13.12.2017;53,03000;8,46000;surface - 1m;Petra Kadel;1;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;20.12.2017;53,03000;8,46000;surface - 1m;Petra Kadel;2;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Station 1;29.12.2017;53,03000;8,46000;surface - 1m;Petra Kadel;5;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
