;;;;;;Bivalvia ;Obelia;Ctenophora;Cnidaria indet.;Spionidae;Bipinnaria ;Echinopluteus ;Scoloplos ;Nereis;Gastropoda;Crepidula ;Cypris ;Palaemon ;Carcinus Zoea ;Carcinus Megalopa ;Pagurus;Lanice ;Magelona ;Appendicularia;Fritillaria;Podon;Evadne;Chaetognatha;Actiniaria 
List Ferry Terminal ;03.04.2015;55,01553;8,43990;surface - 1m;Petra Kadel;2;0;0;1;50;2;0;1;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;06.04.2015;55,01553;8,43990;surface - 1m;Petra Kadel;4;0;0;0;22;8;0;3;1;1;0;8;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;08.04.2015;55,01553;8,43990;surface - 1m;Petra Kadel;7;0;0;1;11;5;0;1;1;1;0;22;0;0;0;0;1;0;0;0;0;0;0;0
List Ferry Terminal ;10.04.2015;55,01553;8,43990;surface - 1m;Petra Kadel;8;0;0;0;29;6;0;2;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;13.04.2015;55,01553;8,43990;surface - 1m;Petra Kadel;21;0;0;0;24;2;0;0;0;4;0;7;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;08.05.2015;55,01553;8,43990;surface - 1m;Petra Kadel;232;0;0;7;12;5;20;0;2;1;0;5;0;0;0;0;8;2;1;0;0;0;0;1
List Ferry Terminal ;13.05.2015;55,01553;8,43990;surface - 1m;Petra Kadel;570;2;0;2;19;3;24;0;0;9;0;4;0;1;0;0;0;12;10;3;0;0;0;1
List Ferry Terminal ;16.05.2015;55,01553;8,43990;surface - 1m;Petra Kadel;229;1;0;2;123;0;1;0;0;38;2;7;0;0;0;0;0;0;8;0;0;0;0;0
List Ferry Terminal ;18.05.2015;55,01553;8,43990;surface - 1m;Petra Kadel;263;0;0;0;75;0;1;0;0;40;4;2;0;0;0;0;2;2;16;0;0;0;0;0
List Ferry Terminal ;22.05.2015;55,01553;8,43990;surface - 1m;Petra Kadel;156;0;0;1;71;0;6;0;1;26;6;1;0;6;0;0;5;5;135;0;0;0;0;0
List Ferry Terminal ;23.05.2015;55,01553;8,43990;surface - 1m;Petra Kadel;144;2;0;0;26;29;7;0;0;29;9;6;0;0;0;0;8;4;59;0;0;0;0;0
List Ferry Terminal ;24.05.2015;55,01553;8,43990;surface - 1m;Petra Kadel;60;0;0;1;1;5;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
List Ferry Terminal ;05.06.2015;55,01553;8,43990;surface - 1m;Petra Kadel;71;1;0;0;38;37;1;0;0;0;1;5;0;0;0;0;0;4;15;0;0;1;0;0
List Ferry Terminal ;10.06.2015;55,01553;8,43990;surface - 1m;Petra Kadel;281;0;0;0;21;54;1;0;0;0;0;2;0;0;1;0;9;1;18;0;0;1;0;0
List Ferry Terminal ;12.06.2015;55,01553;8,43990;surface - 1m;Petra Kadel;191;1;0;0;45;64;3;0;0;0;1;1;0;0;0;0;12;1;39;0;0;0;0;0
List Ferry Terminal ;19.06.2015;55,01553;8,43990;surface - 1m;Petra Kadel;54;1;0;0;26;49;1;0;0;0;0;3;0;0;0;0;5;0;23;0;1;0;0;0
List Ferry Terminal ;26.06.2015;55,01553;8,43990;surface - 1m;Petra Kadel;29;0;0;0;66;27;0;0;0;0;1;3;0;0;0;0;0;0;9;0;0;0;0;0
List Ferry Terminal ;03.07.2015;55,01553;8,43990;surface - 1m;Petra Kadel;85;0;0;0;65;13;0;0;1;0;0;0;0;0;0;0;4;0;47;0;0;0;0;0
List Ferry Terminal ;10.07.2015;55,01553;8,43990;surface - 1m;Petra Kadel;112;0;0;0;71;11;0;0;1;0;3;8;1;0;0;0;25;0;24;0;0;0;0;1
List Ferry Terminal ;17.07.2015;55,01553;8,43990;surface - 1m;Petra Kadel;30;0;0;1;41;1;0;0;1;0;0;1;0;0;0;0;0;0;7;0;0;0;0;0
List Ferry Terminal ;24.07.2015;55,01553;8,43990;surface - 1m;Petra Kadel;27;0;0;0;51;2;0;0;2;0;0;1;0;0;0;0;0;0;14;0;0;0;0;0
List Ferry Terminal ;31.07.2015;55,01553;8,43990;surface - 1m;Petra Kadel;11;0;0;0;34;0;0;0;1;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0
List Ferry Terminal ;07.08.2015;55,01553;8,43990;surface - 1m;Petra Kadel;41;0;0;0;10;0;0;0;0;0;1;0;0;0;0;0;0;0;17;6;0;0;0;0
List Ferry Terminal ;14.08.2015;55,01553;8,43990;surface - 1m;Petra Kadel;37;0;0;0;15;0;0;0;0;0;1;1;0;0;0;0;0;0;11;0;0;1;0;0
List Ferry Terminal ;21.08.2015;55,01553;8,43990;surface - 1m;Petra Kadel;159;2;0;0;114;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;28.08.2015;55,01553;8,43990;surface - 1m;Petra Kadel;110;3;0;1;92;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;3;0;0
List Ferry Terminal ;11.09.2015;55,01553;8,43990;surface - 1m;Petra Kadel;67;0;0;1;57;0;0;0;0;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;18.09.2015;55,01553;8,43990;surface - 1m;Petra Kadel;69;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
List Ferry Terminal ;25.09.2015;55,01553;8,43990;surface - 1m;Petra Kadel;6;0;0;0;16;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0
List Ferry Terminal ;02.10.2015;55,01553;8,43990;surface - 1m;Petra Kadel;8;0;0;0;28;0;0;0;0;1;0;0;0;0;0;0;0;0;19;0;0;0;0;0
List Ferry Terminal ;12.10.2015;55,01553;8,43990;surface - 1m;Petra Kadel;7;0;0;0;33;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
List Ferry Terminal ;23.10.2015;55,01553;8,43990;surface - 1m;Petra Kadel;7;1;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0
