Sample label;Latitude (start of trawl);Longitude (start of trawl);Latitude 2 (end of trawl);Longitude 2 (end of trawl);Bathy depth [m] (start of trawl);Bathy depth [m] (end of trawl);Date/Time (start of trawl);Date/Time (end of trawl);Habitat;Mass [g] (total);Mass [g] (subsample);O. eperlanus TL [mm];O. eperlanus [#];Sal (PSU);Temp [Â°C] (at surface);
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;94;;90;3;;7;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;12,7;9,8;2007-01-23T12:40;2007-01-23T12:55;Benthic;41;;170;1;;7;
Sylt-2 trawl 1;55,019283;8,4554;55,0319;8,468083;10;11;2007-01-23T13:42;2007-01-23T13:55;Pelagic;23;;70;4;;7;
Sylt-2 trawl 1;55,019283;8,4554;55,0319;8,468083;10;11;2007-01-23T13:42;2007-01-23T13:55;Pelagic;23;;75;6;;7;
Sylt-2 trawl 1;55,019283;8,4554;55,0319;8,468083;10;11;2007-01-23T13:42;2007-01-23T13:55;Pelagic;23;;80;2;;7;
Sylt-5 trawl 1;54,998667;8,427833;54,9925;8,426;8;2,9;2007-01-24T09:10;2007-01-24T09:25;Benthic;34;;60;3;;4,2;
Sylt-5 trawl 1;54,998667;8,427833;54,9925;8,426;8;2,9;2007-01-24T09:10;2007-01-24T09:25;Benthic;34;;65;1;;4,2;
Sylt-5 trawl 1;54,998667;8,427833;54,9925;8,426;8;2,9;2007-01-24T09:10;2007-01-24T09:25;Benthic;34;;70;5;;4,2;
Sylt-5 trawl 1;54,998667;8,427833;54,9925;8,426;8;2,9;2007-01-24T09:10;2007-01-24T09:25;Benthic;34;;75;2;;4,2;
Sylt-5 trawl 1;54,998667;8,427833;54,9925;8,426;8;2,9;2007-01-24T09:10;2007-01-24T09:25;Benthic;34;;80;1;;4,2;
Sylt-5 trawl 1;54,998667;8,427833;54,9925;8,426;8;2,9;2007-01-24T09:10;2007-01-24T09:25;Benthic;34;;85;1;;4,2;
Sylt-5 trawl 1;54,998667;8,427833;54,9925;8,426;8;2,9;2007-01-24T09:10;2007-01-24T09:25;Benthic;34;;90;1;;4,2;
Sylt-5 trawl 1;54,998667;8,427833;54,9925;8,426;8;2,9;2007-01-24T09:10;2007-01-24T09:25;Benthic;34;;105;1;;4,2;
Sylt-7 trawl 1;54,940833;8,399833;54,948167;8,416333;2,8;2,8;2007-01-24T10:10;2007-01-24T10:25;Benthic;;;85;1;;3,1;
Sylt-7 trawl 1;54,940833;8,399833;54,948167;8,416333;2,8;2,8;2007-01-24T10:10;2007-01-24T10:25;Benthic;;;90;1;;3,1;
Sylt-7 trawl 1;54,940833;8,399833;54,948167;8,416333;2,8;2,8;2007-01-24T10:10;2007-01-24T10:25;Benthic;;;100;1;;3,1;
Sylt-7 trawl 1;54,940833;8,399833;54,948167;8,416333;2,8;2,8;2007-01-24T10:10;2007-01-24T10:25;Benthic;;;105;1;;3,1;
Sylt-7 trawl 1;54,940833;8,399833;54,948167;8,416333;2,8;2,8;2007-01-24T10:10;2007-01-24T10:25;Benthic;;;125;1;;3,1;
Sylt-7 trawl 1;54,940833;8,399833;54,948167;8,416333;2,8;2,8;2007-01-24T10:10;2007-01-24T10:25;Benthic;;;135;1;;3,1;
Sylt-7 trawl 1;54,940833;8,399833;54,948167;8,416333;2,8;2,8;2007-01-24T10:10;2007-01-24T10:25;Benthic;;;220;1;;3,1;
Sylt-6 trawl 1;54,932333;8,395167;54,940667;8,405833;7,8;5,4;2007-01-24T10:37;2007-01-24T10:52;Benthic;;;65;1;;4,2;
