Sample label;Latitude (start of trawl);Longitude (start of trawl);Latitude 2 (end of trawl);Longitude 2 (end of trawl);Bathy depth [m] (start of trawl);Bathy depth [m] (end of trawl);Date/Time (start of trawl);Date/Time (end of trawl);Habitat;Mass [g] (total);Mass [g] (subsample);O. eperlanus TL [mm];O. eperlanus [#];Sal (PSU);Temp [Â°C] (at surface);
Sylt-6 trawl 6;54,932333;8,395167;54,940667;8,405833;6,8;6,9;2007-06-05T10:51;2007-06-05T11:06;Benthic;;;115;7;;18,9;
Sylt-6 trawl 6;54,932333;8,395167;54,940667;8,405833;6,8;6,9;2007-06-05T10:51;2007-06-05T11:06;Benthic;;;120;24;;18,9;
Sylt-6 trawl 6;54,932333;8,395167;54,940667;8,405833;6,8;6,9;2007-06-05T10:51;2007-06-05T11:06;Benthic;;;125;15;;18,9;
Sylt-6 trawl 6;54,932333;8,395167;54,940667;8,405833;6,8;6,9;2007-06-05T10:51;2007-06-05T11:06;Benthic;;;130;21;;18,9;
Sylt-6 trawl 6;54,932333;8,395167;54,940667;8,405833;6,8;6,9;2007-06-05T10:51;2007-06-05T11:06;Benthic;;;135;10;;18,9;
Sylt-6 trawl 6;54,932333;8,395167;54,940667;8,405833;6,8;6,9;2007-06-05T10:51;2007-06-05T11:06;Benthic;;;140;11;;18,9;
Sylt-6 trawl 6;54,932333;8,395167;54,940667;8,405833;6,8;6,9;2007-06-05T10:51;2007-06-05T11:06;Benthic;;;145;3;;18,9;
Sylt-6 trawl 6;54,932333;8,395167;54,940667;8,405833;6,8;6,9;2007-06-05T10:51;2007-06-05T11:06;Benthic;;;150;3;;18,9;
Sylt-6 trawl 6;54,932333;8,395167;54,940667;8,405833;6,8;6,9;2007-06-05T10:51;2007-06-05T11:06;Benthic;;;155;1;;18,9;
Sylt-6 trawl 6;54,931667;8,394833;54,944;8,4145;5,7;4,7;2007-06-05T11:27;2007-06-05T11:42;Pelagic;33;;130;1;;19,4;
Sylt-6 trawl 6;54,931667;8,394833;54,944;8,4145;5,7;4,7;2007-06-05T11:27;2007-06-05T11:42;Pelagic;33;;140;1;;19,4;
Sylt-6 trawl 7;54,931667;8,394833;54,944;8,4145;5,8;6,8;2007-07-03T10:26;2007-07-03T10:41;Pelagic;;;150;1;;16,4;
Sylt-6 trawl 7;54,931667;8,394833;54,944;8,4145;5,8;6,8;2007-07-03T10:26;2007-07-03T10:41;Pelagic;;;155;1;;16,4;
Sylt-6 trawl 8;54,932333;8,395167;54,940667;8,405833;6,7;6;2007-08-20T11:35;2007-08-20T11:50;Benthic;;;165;1;;17,9;
Sylt-6 trawl 9;54,932333;8,395167;54,940667;8,405833;5;4,8;2007-09-13T10:20;2007-09-13T10:35;Benthic;;;190;1;;13,9;
Sylt-6 trawl 10;54,932333;8,395167;54,940667;8,405833;7,3;6,4;2007-10-16T10:15;2007-10-16T10:30;Benthic;;;170;1;;11,8;
Sylt-3 trawl 11;55,028;8,450167;55,037667;8,457;2,3;2,3;2007-11-12T11:19;2007-11-12T11:34;Benthic;;;170;1;;6,8;
Sylt-6 trawl 11;54,932333;8,395167;54,940667;8,405833;6,3;4,9;2007-11-15T10:41;2007-11-15T10:56;Benthic;420;;140;1;;1,9;
Sylt-6 trawl 11;54,932333;8,395167;54,940667;8,405833;6,3;4,9;2007-11-15T10:41;2007-11-15T10:56;Benthic;420;;145;1;;1,9;
Sylt-6 trawl 11;54,932333;8,395167;54,940667;8,405833;6,3;4,9;2007-11-15T10:41;2007-11-15T10:56;Benthic;420;;150;2;;1,9;
Sylt-6 trawl 11;54,932333;8,395167;54,940667;8,405833;6,3;4,9;2007-11-15T10:41;2007-11-15T10:56;Benthic;420;;155;1;;1,9;
Sylt-6 trawl 11;54,932333;8,395167;54,940667;8,405833;6,3;4,9;2007-11-15T10:41;2007-11-15T10:56;Benthic;420;;165;2;;1,9;
Sylt-6 trawl 11;54,932333;8,395167;54,940667;8,405833;6,3;4,9;2007-11-15T10:41;2007-11-15T10:56;Benthic;420;;170;1;;1,9;
Sylt-6 trawl 11;54,932333;8,395167;54,940667;8,405833;6,3;4,9;2007-11-15T10:41;2007-11-15T10:56;Benthic;420;;175;1;;1,9;
Sylt-6 trawl 11;54,932333;8,395167;54,940667;8,405833;6,3;4,9;2007-11-15T10:41;2007-11-15T10:56;Benthic;420;;180;4;;1,9;
Sylt-6 trawl 11;54,932333;8,395167;54,940667;8,405833;6,3;4,9;2007-11-15T10:41;2007-11-15T10:56;Benthic;420;;200;1;;1,9;
Sylt-4 trawl 11;54,9865;8,439667;54,997167;8,43;4,2;4,7;2007-11-15T10:50;2007-11-15T11:05;Benthic;;;145;1;;3,5;
Sylt-6 trawl 11;54,931667;8,394833;54,944;8,4145;7,2;7,2;2007-11-15T13:08;2007-11-15T13:23;Pelagic;;;100;1;;1,9;
Sylt-6 trawl 11;54,931667;8,394833;54,944;8,4145;7,2;7,2;2007-11-15T13:08;2007-11-15T13:23;Pelagic;;;155;1;;1,9;
Sylt-6 trawl 11;54,931667;8,394833;54,944;8,4145;7,2;7,2;2007-11-15T13:08;2007-11-15T13:23;Pelagic;;;175;1;;1,9;
Sylt-7 trawl 11;54,940833;8,399833;54,948167;8,416333;2,3;2,4;2007-11-15T13:35;2007-11-15T13:50;Benthic;;;150;2;;1,9;
Sylt-7 trawl 11;54,940833;8,399833;54,948167;8,416333;2,3;2,4;2007-11-15T13:35;2007-11-15T13:50;Benthic;;;170;1;;1,9;
Sylt-5 trawl 12;54,998667;8,427833;54,9925;8,426;5,6;4,1;2007-12-11T09:19;2007-12-11T09:34;Benthic;;;140;1;;5,9;
Sylt-5 trawl 12;54,998667;8,427833;54,9925;8,426;5,6;4,1;2007-12-11T09:19;2007-12-11T09:34;Benthic;;;180;1;;5,9;
Sylt-6 trawl 12;54,931667;8,394833;54,944;8,4145;7;6,2;2007-12-11T10:50;2007-12-11T11:05;Pelagic;;;140;1;;4,7;
Sylt-6 trawl 12;54,931667;8,394833;54,944;8,4145;7;6,2;2007-12-11T10:50;2007-12-11T11:05;Pelagic;;;145;1;;4,7;
Sylt-6 trawl 12;54,931667;8,394833;54,944;8,4145;7;6,2;2007-12-11T10:50;2007-12-11T11:05;Pelagic;;;150;1;;4,7;
Sylt-6 trawl 12;54,931667;8,394833;54,944;8,4145;7;6,2;2007-12-11T10:50;2007-12-11T11:05;Pelagic;;;180;1;;4,7;
Sylt-6 trawl 12;54,932333;8,395167;54,940667;8,405833;6,1;6,8;2007-12-11T11:23;2007-12-11T11:38;Benthic;;;140;1;;4,7;
Sylt-6 trawl 12;54,932333;8,395167;54,940667;8,405833;6,1;6,8;2007-12-11T11:23;2007-12-11T11:38;Benthic;;;145;1;;4,7;
Sylt-6 trawl 12;54,932333;8,395167;54,940667;8,405833;6,1;6,8;2007-12-11T11:23;2007-12-11T11:38;Benthic;;;150;1;;4,7;
Sylt-6 trawl 12;54,932333;8,395167;54,940667;8,405833;6,1;6,8;2007-12-11T11:23;2007-12-11T11:38;Benthic;;;160;1;;4,7;
Sylt-6 trawl 12;54,932333;8,395167;54,940667;8,405833;6,1;6,8;2007-12-11T11:23;2007-12-11T11:38;Benthic;;;170;3;;4,7;
Sylt-6 trawl 12;54,932333;8,395167;54,940667;8,405833;6,1;6,8;2007-12-11T11:23;2007-12-11T11:38;Benthic;;;175;1;;4,7;
Sylt-6 trawl 12;54,932333;8,395167;54,940667;8,405833;6,1;6,8;2007-12-11T11:23;2007-12-11T11:38;Benthic;;;180;2;;4,7;
Sylt-6 trawl 12;54,932333;8,395167;54,940667;8,405833;6,1;6,8;2007-12-11T11:23;2007-12-11T11:38;Benthic;;;190;1;;4,7;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;10,1;6,2;2008-01-14T12:07;2008-01-14T12:22;Benthic;;;125;1;;3,6;
Sylt-2 trawl 1;55,036;8,463283;55,0316;8,46875;10,1;6,2;2008-01-14T12:07;2008-01-14T12:22;Benthic;;;150;1;;3,6;
Sylt-3 trawl 1;55,028;8,450167;55,037667;8,457;1,6;3,2;2008-01-14T09:12;2008-01-14T09:27;Benthic;;;175;1;;3,7;
Sylt-4 trawl 1;54,9865;8,439667;54,997167;8,43;9,5;10,8;2008-01-14T13:00;2008-01-14T13:15;Benthic;;;75;1;;3,6;
Sylt-4 trawl 1;54,9865;8,439667;54,997167;8,43;9,5;10,8;2008-01-14T13:00;2008-01-14T13:15;Benthic;;;80;2;;3,6;
Sylt-4 trawl 1;54,9865;8,439667;54,997167;8,43;9,5;10,8;2008-01-14T13:00;2008-01-14T13:15;Benthic;;;85;1;;3,6;
Sylt-4 trawl 1;54,9865;8,439667;54,997167;8,43;9,5;10,8;2008-01-14T13:00;2008-01-14T13:15;Benthic;;;90;2;;3,6;
Sylt-4 trawl 1;54,9865;8,439667;54,997167;8,43;9,5;10,8;2008-01-14T13:00;2008-01-14T13:15;Benthic;;;105;1;;3,6;
Sylt-5 trawl 1;54,998667;8,427833;54,9925;8,426;3,8;2,6;2008-01-17T09:19;2008-01-17T09:34;Benthic;;;80;1;;4,5;
Sylt-6 trawl 1;54,932333;8,395167;54,940667;8,405833;7,2;6,3;2008-01-17T11:13;2008-01-17T11:28;Benthic;;;70;1;;4,3;
Sylt-6 trawl 1;54,932333;8,395167;54,940667;8,405833;7,2;6,3;2008-01-17T11:13;2008-01-17T11:28;Benthic;;;80;1;;4,3;
Sylt-6 trawl 1;54,932333;8,395167;54,940667;8,405833;7,2;6,3;2008-01-17T11:13;2008-01-17T11:28;Benthic;;;85;1;;4,3;
Sylt-6 trawl 1;54,932333;8,395167;54,940667;8,405833;7,2;6,3;2008-01-17T11:13;2008-01-17T11:28;Benthic;;;90;1;;4,3;
Sylt-6 trawl 1;54,932333;8,395167;54,940667;8,405833;7,2;6,3;2008-01-17T11:13;2008-01-17T11:28;Benthic;;;120;1;;4,3;
Sylt-6 trawl 1;54,932333;8,395167;54,940667;8,405833;7,2;6,3;2008-01-17T11:13;2008-01-17T11:28;Benthic;;;140;1;;4,3;
Sylt-2 trawl 2;55,036;8,463283;55,0316;8,46875;8,5;10;2008-02-11T12:42;2008-02-11T12:57;Benthic;;;80;1;;4,3;
Sylt-2 trawl 2;55,036;8,463283;55,0316;8,46875;8,5;10;2008-02-11T12:42;2008-02-11T12:57;Benthic;;;85;2;;4,3;
Sylt-2 trawl 2;55,036;8,463283;55,0316;8,46875;8,5;10;2008-02-11T12:42;2008-02-11T12:57;Benthic;;;90;1;;4,3;
Sylt-5 trawl 2;54,998667;8,427833;54,9925;8,426;4,2;3,3;2008-02-13T08:20;2008-02-13T08:35;Benthic;;;70;1;;4,4;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,6;5,8;2008-02-13T10:18;2008-02-13T10:33;Benthic;;;150;1;;4,2;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,6;5,8;2008-02-13T10:18;2008-02-13T10:33;Benthic;;;60;1;;4,2;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,6;5,8;2008-02-13T10:18;2008-02-13T10:33;Benthic;;;65;1;;4,2;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,6;5,8;2008-02-13T10:18;2008-02-13T10:33;Benthic;;;70;2;;4,2;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,6;5,8;2008-02-13T10:18;2008-02-13T10:33;Benthic;;;75;1;;4,2;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,6;5,8;2008-02-13T10:18;2008-02-13T10:33;Benthic;;;80;5;;4,2;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,6;5,8;2008-02-13T10:18;2008-02-13T10:33;Benthic;;;85;2;;4,2;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,6;5,8;2008-02-13T10:18;2008-02-13T10:33;Benthic;;;90;1;;4,2;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,6;5,8;2008-02-13T10:18;2008-02-13T10:33;Benthic;;;95;1;;4,2;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,6;5,8;2008-02-13T10:18;2008-02-13T10:33;Benthic;;;100;3;;4,2;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,6;5,8;2008-02-13T10:18;2008-02-13T10:33;Benthic;;;105;1;;4,2;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,6;5,8;2008-02-13T10:18;2008-02-13T10:33;Benthic;;;130;1;;4,2;
Sylt-6 trawl 2;54,932333;8,395167;54,940667;8,405833;6,6;5,8;2008-02-13T10:18;2008-02-13T10:33;Benthic;;;140;1;;4,2;
Sylt-7 trawl 2;54,940833;8,399833;54,948167;8,416333;3,3;2,8;2008-02-13T09:16;2008-02-13T09:31;Benthic;;;60;1;;4,2;
Sylt-7 trawl 2;54,940833;8,399833;54,948167;8,416333;3,3;2,8;2008-02-13T09:16;2008-02-13T09:31;Benthic;;;80;1;;4,2;
Sylt-9 trawl 1;54,997217;8,4948;54,988417;8,510483;7,1;3,7;2008-02-13T12:46;2008-02-13T13:01;Benthic;;;75;1;;4,3;
Sylt-9 trawl 1;54,997217;8,4948;54,988417;8,510483;7,1;3,7;2008-02-13T12:46;2008-02-13T13:01;Benthic;;;80;1;;4,3;
Sylt-9 trawl 1;54,997217;8,4948;54,988417;8,510483;7,1;3,7;2008-02-13T12:46;2008-02-13T13:01;Benthic;;;90;2;;4,3;
Sylt-9 trawl 1;54,997217;8,4948;54,988417;8,510483;7,1;3,7;2008-02-13T12:46;2008-02-13T13:01;Benthic;;;85;1;;4,3;
Sylt-1 trawl 3;55,05555;8,438433;55,0512;8,4534;9,8;;2008-04-07T10:27;2008-04-07T10:42;Benthic;;;85;1;;6,9;
Sylt-3 trawl 3;55,028;8,450167;55,037667;8,457;1,1;2;2008-04-07T09:20;2008-04-07T09:35;Benthic;;;160;1;;6,8;
Sylt-5 trawl 3;54,998667;8,427833;54,9925;8,426;4,6;3,1;2008-04-07T12:20;2008-04-07T12:35;Benthic;;;165;1;;7,2;
Sylt-6 trawl 3;54,932333;8,395167;54,940667;8,405833;6,7;5,9;2008-04-09T11:35;2008-04-09T11:50;Benthic;;;90;1;;8,1;
Sylt-6 trawl 3;54,932333;8,395167;54,940667;8,405833;6,7;5,9;2008-04-09T11:35;2008-04-09T11:50;Benthic;;;130;1;;8,1;
Sylt-6 trawl 3;54,932333;8,395167;54,940667;8,405833;6,7;5,9;2008-04-09T11:35;2008-04-09T11:50;Benthic;;;140;1;;8,1;
Sylt-6 trawl 3;54,932333;8,395167;54,940667;8,405833;6,7;5,9;2008-04-09T11:35;2008-04-09T11:50;Benthic;;;150;1;;8,1;
Sylt-6 trawl 4;54,932333;8,395167;54,940667;8,405833;5,1;;2008-05-22T12:07;2008-05-22T12:22;Benthic;;;60;1;;14,4;
Sylt-6 trawl 4;54,932333;8,395167;54,940667;8,405833;5,1;;2008-05-22T12:07;2008-05-22T12:22;Benthic;;;80;2;;14,4;
Sylt-6 trawl 4;54,932333;8,395167;54,940667;8,405833;5,1;;2008-05-22T12:07;2008-05-22T12:22;Benthic;;;85;1;;14,4;
Sylt-6 trawl 4;54,932333;8,395167;54,940667;8,405833;5,1;;2008-05-22T12:07;2008-05-22T12:22;Benthic;;;90;2;;14,4;
Sylt-6 trawl 4;54,932333;8,395167;54,940667;8,405833;5,1;;2008-05-22T12:07;2008-05-22T12:22;Benthic;;;95;1;;14,4;
Sylt-6 trawl 4;54,932333;8,395167;54,940667;8,405833;5,1;;2008-05-22T12:07;2008-05-22T12:22;Benthic;;;100;3;;14,4;
Sylt-6 trawl 4;54,932333;8,395167;54,940667;8,405833;5,1;;2008-05-22T12:07;2008-05-22T12:22;Benthic;;;110;1;;14,4;
Sylt-6 trawl 4;54,932333;8,395167;54,940667;8,405833;5,1;;2008-05-22T12:07;2008-05-22T12:22;Benthic;;;115;1;;14,4;
Sylt-6 trawl 4;54,932333;8,395167;54,940667;8,405833;5,1;;2008-05-22T12:07;2008-05-22T12:22;Benthic;;;125;1;;14,4;
Sylt-7 trawl 4;54,940833;8,399833;54,948167;8,416333;1,4;1,9;2008-05-22T11:10;2008-05-22T11:25;Benthic;19;;140;1;;14,6;
Sylt-7 trawl 4;54,940833;8,399833;54,948167;8,416333;1,4;1,9;2008-05-22T11:10;2008-05-22T11:25;Benthic;36;;170;1;;14,6;
Sylt-3 trawl 5;55,028;8,450167;55,037667;8,457;2,2;3,9;2008-07-07T09:23;2008-07-07T09:38;Benthic;;;65;1;31,2;19;
Sylt-3 trawl 5;55,028;8,450167;55,037667;8,457;2,2;3,9;2008-07-07T09:23;2008-07-07T09:38;Benthic;;;75;1;31,2;19;
Sylt-3 trawl 5;55,028;8,450167;55,037667;8,457;2,2;3,9;2008-07-07T09:23;2008-07-07T09:38;Benthic;;;80;1;31,2;19;
Sylt-5 trawl 8;54,998667;8,427833;54,9925;8,426;3,5;2;2008-10-28T08:20;2008-10-28T08:35;Benthic;;;90;1;28,7;9,8;
Sylt-8 trawl 3;55,065333;8,361333;55,070167;8,342833;8,9;6,9;2008-11-17T11:23;2008-11-17T11:38;Benthic;;;105;1;26,9;8,3;
Sylt-5 trawl 9;54,998667;8,427833;54,9925;8,426;2,9;2,4;2008-11-24T09:13;2008-11-24T09:28;Benthic;;;85;1;27,1;5,3;
Sylt-5 trawl 9;54,998667;8,427833;54,9925;8,426;2,9;2,4;2008-11-24T09:13;2008-11-24T09:28;Benthic;;;110;1;27,1;5,3;
Sylt-6 trawl 9;54,932333;8,395167;54,940667;8,405833;6,8;7,5;2008-11-24T11:14;2008-11-24T11:29;Benthic;;;110;1;27,1;4,2;
Sylt-6 trawl 9;54,932333;8,395167;54,940667;8,405833;6,8;7,5;2008-11-24T11:14;2008-11-24T11:29;Benthic;;;160;1;27,1;4,2;
Sylt-6 trawl 10;54,932333;8,395167;54,940667;8,405833;7,3;5,6;2008-12-17T11:03;2008-12-17T11:18;Benthic;;;75;1;26,1;3,1;
Sylt-6 trawl 10;54,932333;8,395167;54,940667;8,405833;7,3;5,6;2008-12-17T11:03;2008-12-17T11:18;Benthic;;;80;2;26,1;3,1;
Sylt-6 trawl 10;54,932333;8,395167;54,940667;8,405833;7,3;5,6;2008-12-17T11:03;2008-12-17T11:18;Benthic;;;90;2;26,1;3,1;
Sylt-6 trawl 10;54,932333;8,395167;54,940667;8,405833;7,3;5,6;2008-12-17T11:03;2008-12-17T11:18;Benthic;;;95;1;26,1;3,1;
Sylt-6 trawl 10;54,932333;8,395167;54,940667;8,405833;7,3;5,6;2008-12-17T11:03;2008-12-17T11:18;Benthic;;;100;2;26,1;3,1;
Sylt-6 trawl 10;54,932333;8,395167;54,940667;8,405833;7,3;5,6;2008-12-17T11:03;2008-12-17T11:18;Benthic;;;105;2;26,1;3,1;
Sylt-6 trawl 10;54,932333;8,395167;54,940667;8,405833;7,3;5,6;2008-12-17T11:03;2008-12-17T11:18;Benthic;;;110;3;26,1;3,1;
Sylt-6 trawl 10;54,932333;8,395167;54,940667;8,405833;7,3;5,6;2008-12-17T11:03;2008-12-17T11:18;Benthic;;;115;2;26,1;3,1;
Sylt-6 trawl 10;54,932333;8,395167;54,940667;8,405833;7,3;5,6;2008-12-17T11:03;2008-12-17T11:18;Benthic;;;120;1;26,1;3,1;
Sylt-6 trawl 10;54,932333;8,395167;54,940667;8,405833;7,3;5,6;2008-12-17T11:03;2008-12-17T11:18;Benthic;;;135;1;26,1;3,1;
Sylt-6 trawl 10;54,932333;8,395167;54,940667;8,405833;7,3;5,6;2008-12-17T11:03;2008-12-17T11:18;Benthic;;;145;1;26,1;3,1;
Sylt-6 trawl 10;54,932333;8,395167;54,940667;8,405833;7,3;5,6;2008-12-17T11:03;2008-12-17T11:18;Benthic;;;155;1;26,1;3,1;
Sylt-7 trawl 10;54,940833;8,399833;54,948167;8,416333;2,4;2,2;2008-12-17T10:03;2008-12-17T10:18;Benthic;;;60;1;26,1;3,1;
Sylt-7 trawl 10;54,940833;8,399833;54,948167;8,416333;2,4;2,2;2008-12-17T10:03;2008-12-17T10:18;Benthic;;;95;1;26,1;3,1;
Sylt-7 trawl 10;54,940833;8,399833;54,948167;8,416333;2,4;2,2;2008-12-17T10:03;2008-12-17T10:18;Benthic;;;105;1;26,1;3,1;
Sylt-7 trawl 10;54,940833;8,399833;54,948167;8,416333;2,4;2,2;2008-12-17T10:03;2008-12-17T10:18;Benthic;;;155;1;26,1;3,1;
Sylt-2 trawl 9;55,036;8,463283;55,0316;8,46875;9,8;10,1;2008-11-17T12:35;2008-11-17T12:50;Benthic;;;55;1;27,9;8,1;
Sylt-2 trawl 9;55,036;8,463283;55,0316;8,46875;9,8;10,1;2008-11-17T12:35;2008-11-17T12:50;Benthic;;;80;1;27,9;8,1;
Sylt-2 trawl 9;55,036;8,463283;55,0316;8,46875;9,8;10,1;2008-11-17T12:35;2008-11-17T12:50;Benthic;;;85;1;27,9;8,1;
Sylt-2 trawl 9;55,036;8,463283;55,0316;8,46875;9,8;10,1;2008-11-17T12:35;2008-11-17T12:50;Benthic;;;95;3;27,9;8,1;
Sylt-4 trawl 2;55,000833;8,4315;54,9925;8,4365;9,8;9,5;2008-02-13T11:30;2008-02-13T11:45;Pelagic;;;80;1;;4,3;
Sylt-6 trawl 2;54,931667;8,394833;54,944;8,4145;6,3;6,9;2008-02-13T09:46;2008-02-13T10:01;Pelagic;;;70;1;;4,2;
Sylt-6 trawl 2;54,931667;8,394833;54,944;8,4145;6,3;6,9;2008-02-13T09:46;2008-02-13T10:01;Pelagic;;;80;1;;4,2;
Sylt-6 trawl 2;54,931667;8,394833;54,944;8,4145;6,3;6,9;2008-02-13T09:46;2008-02-13T10:01;Pelagic;;;90;3;;4,2;
Sylt-6 trawl 2;54,931667;8,394833;54,944;8,4145;6,3;6,9;2008-02-13T09:46;2008-02-13T10:01;Pelagic;;;95;1;;4,2;
Sylt-6 trawl 2;54,931667;8,394833;54,944;8,4145;6,3;6,9;2008-02-13T09:46;2008-02-13T10:01;Pelagic;;;100;1;;4,2;
Sylt-6 trawl 2;54,931667;8,394833;54,944;8,4145;6,3;6,9;2008-02-13T09:46;2008-02-13T10:01;Pelagic;;;115;1;;4,2;
Sylt-6 trawl 2;54,931667;8,394833;54,944;8,4145;6,3;6,9;2008-02-13T09:46;2008-02-13T10:01;Pelagic;;;145;1;;4,2;
Sylt-6 trawl 10;54,931667;8,394833;54,944;8,4145;5,1;6,5;2008-12-17T10:28;2008-12-17T10:43;Pelagic;;;75;1;26,1;3,1;
Sylt-6 trawl 10;54,931667;8,394833;54,944;8,4145;5,1;6,5;2008-12-17T10:28;2008-12-17T10:43;Pelagic;;;100;2;26,1;3,1;
Sylt-6 trawl 10;54,931667;8,394833;54,944;8,4145;5,1;6,5;2008-12-17T10:28;2008-12-17T10:43;Pelagic;;;105;1;26,1;3,1;
Sylt-6 trawl 6;54,932333;8,395167;54,940667;8,405833;5,6;3,8;2009-06-11T11:40;2009-06-11T11:55;Benthic;;;145;1;29,5;13,5;
Sylt-1 trawl 12;55,05555;8,438433;55,0512;8,4534;13,1;9,8;2009-12-07T10:32;2009-12-07T10:47;Benthic;;;50;2;29,2;6,8;
Sylt-1 trawl 12;55,05555;8,438433;55,0512;8,4534;13,1;9,8;2009-12-07T10:32;2009-12-07T10:47;Benthic;;;55;2;29,2;6,8;
Sylt-1 trawl 12;55,05555;8,438433;55,0512;8,4534;13,1;9,8;2009-12-07T10:32;2009-12-07T10:47;Benthic;;;70;1;29,2;6,8;
Sylt-1 trawl 12;55,05555;8,438433;55,0512;8,4534;13,1;9,8;2009-12-07T10:32;2009-12-07T10:47;Benthic;;;75;1;29,2;6,8;
Sylt-1 trawl 12;55,05555;8,438433;55,0512;8,4534;13,1;9,8;2009-12-07T10:32;2009-12-07T10:47;Benthic;;;85;2;29,2;6,8;
Sylt-1 trawl 12;55,05555;8,438433;55,0512;8,4534;13,1;9,8;2009-12-07T10:32;2009-12-07T10:47;Benthic;;;90;1;29,2;6,8;
Sylt-1 trawl 12;55,05555;8,438433;55,0512;8,4534;13,1;9,8;2009-12-07T10:32;2009-12-07T10:47;Benthic;;;95;3;29,2;6,8;
Sylt-1 trawl 12;55,05555;8,438433;55,0512;8,4534;13,1;9,8;2009-12-07T10:32;2009-12-07T10:47;Benthic;;;100;1;29,2;6,8;
Sylt-1 trawl 12;55,05555;8,438433;55,0512;8,4534;13,1;9,8;2009-12-07T10:32;2009-12-07T10:47;Benthic;;;105;1;29,2;6,8;
Sylt-1 trawl 12;55,05555;8,438433;55,0512;8,4534;13,1;9,8;2009-12-07T10:32;2009-12-07T10:47;Benthic;;;145;1;29,2;6,8;
Sylt-2 trawl 2;55,036;8,463283;55,0316;8,46875;10,7;10,7;2009-02-17T13:26;2009-02-17T13:41;Benthic;;;60;1;27,6;0,9;
Sylt-4 trawl 12;54,9865;8,439667;54,997167;8,43;5,6;12,3;2009-12-07T13:20;2009-12-07T13:35;Benthic;;;45;1;27,6;5,4;
Sylt-4 trawl 12;54,9865;8,439667;54,997167;8,43;5,6;12,3;2009-12-07T13:20;2009-12-07T13:35;Benthic;;;55;1;27,6;5,4;
Sylt-4 trawl 12;54,9865;8,439667;54,997167;8,43;5,6;12,3;2009-12-07T13:20;2009-12-07T13:35;Benthic;;;60;2;27,6;5,4;
Sylt-4 trawl 12;54,9865;8,439667;54,997167;8,43;5,6;12,3;2009-12-07T13:20;2009-12-07T13:35;Benthic;;;65;1;27,6;5,4;
Sylt-4 trawl 12;54,9865;8,439667;54,997167;8,43;5,6;12,3;2009-12-07T13:20;2009-12-07T13:35;Benthic;;;75;1;27,6;5,4;
Sylt-4 trawl 12;54,9865;8,439667;54,997167;8,43;5,6;12,3;2009-12-07T13:20;2009-12-07T13:35;Benthic;;;80;2;27,6;5,4;
Sylt-4 trawl 12;54,9865;8,439667;54,997167;8,43;5,6;12,3;2009-12-07T13:20;2009-12-07T13:35;Benthic;;;85;1;27,6;5,4;
Sylt-4 trawl 12;54,9865;8,439667;54,997167;8,43;5,6;12,3;2009-12-07T13:20;2009-12-07T13:35;Benthic;;;105;3;27,6;5,4;
Sylt-4 trawl 2;54,9865;8,439667;54,997167;8,43;11,9;10,8;2009-02-18T11:28;2009-02-18T11:43;Benthic;;;60;1;27,5;0,9;
Sylt-4 trawl 2;54,9865;8,439667;54,997167;8,43;11,9;10,8;2009-02-18T11:28;2009-02-18T11:43;Benthic;;;65;1;27,5;0,9;
Sylt-4 trawl 2;54,9865;8,439667;54,997167;8,43;11,9;10,8;2009-02-18T11:28;2009-02-18T11:43;Benthic;;;70;1;27,5;0,9;
Sylt-4 trawl 2;54,9865;8,439667;54,997167;8,43;11,9;10,8;2009-02-18T11:28;2009-02-18T11:43;Benthic;;;80;1;27,5;0,9;
Sylt-4 trawl 3;54,9865;8,439667;54,997167;8,43;11,2;8,4;2009-03-17T12:12;2009-03-17T12:27;Benthic;;;80;1;27,5;5,7;
Sylt-5 trawl 12;54,998667;8,427833;54,9925;8,426;3,6;2,5;2009-12-08T08:30;2009-12-08T08:45;Benthic;;;60;1;28,4;5,7;
Sylt-5 trawl 12;54,998667;8,427833;54,9925;8,426;3,6;2,5;2009-12-08T08:30;2009-12-08T08:45;Benthic;;;65;1;28,4;5,7;
Sylt-5 trawl 12;54,998667;8,427833;54,9925;8,426;3,6;2,5;2009-12-08T08:30;2009-12-08T08:45;Benthic;;;70;1;28,4;5,7;
Sylt-5 trawl 12;54,998667;8,427833;54,9925;8,426;3,6;2,5;2009-12-08T08:30;2009-12-08T08:45;Benthic;;;75;1;28,4;5,7;
